Downloaded from wid.world on 09-11-2025 at 03:25:45
Country ;Percentile ;"gptinc_999_j_2000
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2000";"gptinc_999_j_2001
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2001";"gptinc_999_j_2002
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2002";"gptinc_999_j_2003
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2003";"gptinc_999_j_2004
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2004";"gptinc_999_j_2005
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2005";"gptinc_999_j_2006
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2006";"gptinc_999_j_2007
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2007";"gptinc_999_j_2008
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2008";"gptinc_999_j_2009
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2009";"gptinc_999_j_2010
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2010";"gptinc_999_j_2011
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2011";"gptinc_999_j_2012
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2012";"gptinc_999_j_2013
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2013";"gptinc_999_j_2014
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2014";"gptinc_999_j_2015
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2015";"gptinc_999_j_2016
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2016";"gptinc_999_j_2017
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2017";"gptinc_999_j_2018
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2018";"gptinc_999_j_2019
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2019";"gptinc_999_j_2020
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2020";"gptinc_999_j_2021
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2021";"gptinc_999_j_2022
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2022";"gptinc_999_j_2023
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
2023"
 Afghanistan;pall;0.4924;0.4924;0.4924;0.4924;0.4924;0.4924;0.4924;0.4924;0.4924;0.4803;0.4792;0.4671;0.4599;0.4645;0.4675;0.4685;0.474;0.4803;0.4803;0.4803;0.4803;0.4803;0.4803;0.4803
 Albania;pall;0.4615;0.4629;0.4667;0.4645;0.461;0.4589;0.4575;0.4458;0.4539;0.4526;0.4562;0.4617;0.4589;0.4776;0.4876;0.4827;0.4836;0.4854;0.4837;0.4807;0.4787;0.4787;0.4787;0.4787
 Algeria;pall;0.5388000000000001;0.5388000000000001;0.5388000000000001;0.5388000000000001;0.5388000000000001;0.5388000000000001;0.5388000000000001;0.5279;0.5171;0.5066;0.4962;0.486;0.5136000000000001;0.5413;0.5413;0.5413;0.5413;0.5413;0.5413;0.5413;0.5413;0.5413;0.5413;0.5413
 Andorra;pall;0.4786;0.476;0.471;0.4747;0.4829;0.4832;0.4881;0.486;0.4697;0.4627;0.481;0.4817;0.4774;0.4812;0.4848;0.484;0.4836;0.4829;0.4811;0.478;0.4784;0.4829;0.4833;0.4833
 Angola;pall;0.677;0.6668000000000001;0.6567000000000001;0.6465000000000001;0.6363;0.6261;0.616;0.6058;0.5956;0.6038;0.612;0.6202000000000001;0.6284000000000001;0.6366;0.6448;0.653;0.6612;0.6694;0.6776;0.6776;0.6776;0.6776;0.6776;0.6776
 Anguilla;pall;0.6794;0.6781;0.6768000000000001;0.6756;0.6745;0.6734;0.6724;0.6714;0.6704;0.6695;0.6687000000000001;0.6601;0.6516000000000001;0.6431;0.6347;0.6264000000000001;0.6182000000000001;0.6099;0.6018;0.5937;0.5868;0.5868;0.5868;0.5868
 Antigua and Barbuda;pall;0.6794;0.6781;0.6768000000000001;0.6756;0.6745;0.6734;0.6724;0.6714;0.6704;0.6695;0.6687000000000001;0.6601;0.6516000000000001;0.6431;0.6347;0.6264000000000001;0.6182000000000001;0.6099;0.6018;0.5937;0.5868;0.5868;0.5868;0.5868
 Argentina;pall;0.6419;0.6649;0.6711;0.6239;0.6074;0.5972000000000001;0.5839;0.5933;0.5929;0.5740000000000001;0.5761000000000001;0.5602;0.5415;0.5463;0.5555;0.5645;0.5734;0.5543;0.5605;0.5807;0.6001000000000001;0.5612;0.55;0.55
 Armenia;pall;0.507;0.4965;0.5004000000000001;0.4883;0.5223;0.5136000000000001;0.4453;0.4599;0.4398;0.4331;0.4574;0.4415;0.4407;0.4512;0.4617;0.4756;0.4822;0.5038;0.5062;0.4637;0.4637;0.4637;0.4637;0.4637
 Aruba;pall;0.6794;0.6781;0.6768000000000001;0.6756;0.6745;0.6734;0.6724;0.6714;0.6704;0.6695;0.6687000000000001;0.6601;0.6516000000000001;0.6431;0.6347;0.6264000000000001;0.6182000000000001;0.6099;0.6018;0.5937;0.5868;0.5868;0.5868;0.5868
