Downloaded from wid.world on 09-11-2025 at 17:27:14
Country ;Percentile ;"ghweal_999_j_2000
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2000";"ghweal_999_j_2001
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2001";"ghweal_999_j_2002
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2002";"ghweal_999_j_2003
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2003";"ghweal_999_j_2004
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2004";"ghweal_999_j_2005
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2005";"ghweal_999_j_2006
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2006";"ghweal_999_j_2007
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2007";"ghweal_999_j_2008
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2008";"ghweal_999_j_2009
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2009";"ghweal_999_j_2010
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2010";"ghweal_999_j_2011
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2011";"ghweal_999_j_2012
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2012";"ghweal_999_j_2013
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2013";"ghweal_999_j_2014
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2014";"ghweal_999_j_2015
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2015";"ghweal_999_j_2016
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2016";"ghweal_999_j_2017
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2017";"ghweal_999_j_2018
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2018";"ghweal_999_j_2019
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2019";"ghweal_999_j_2020
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2020";"ghweal_999_j_2021
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2021";"ghweal_999_j_2022
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2022";"ghweal_999_j_2023
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2023"
 Afghanistan;pall;0.7366;0.7365;0.7365;0.7365;0.7365;0.7365;0.7366;0.7366;0.7366;0.7355;0.7352000000000001;0.7344;0.7339;0.7343000000000001;0.7346;0.7349;0.7352000000000001;0.7356;0.7356;0.7356;0.7356;0.7356;0.7356;0.7356
 Albania;pall;0.7255;0.7257;0.7261000000000001;0.7261000000000001;0.7256;0.7255;0.7254;0.7248;0.7253000000000001;0.7255;0.7256;0.7264;0.7261000000000001;0.7277;0.7285;0.7281000000000001;0.7281000000000001;0.7284;0.7281000000000001;0.7277;0.7274;0.7275;0.7274;0.7274
 Algeria;pall;0.7451;0.7451;0.7451;0.7451;0.7452000000000001;0.7452000000000001;0.7451;0.7435;0.7419;0.7408;0.7399;0.7391000000000001;0.7457;0.7582;0.7582;0.7583000000000001;0.7584000000000001;0.7583000000000001;0.7589;0.7587;0.7591;0.7593000000000001;0.7592;0.7587
 Andorra;pall;0.7297;0.729;0.7282000000000001;0.7283000000000001;0.7287;0.7291000000000001;0.7304;0.7306;0.7278;0.7271000000000001;0.729;0.7288;0.728;0.7282000000000001;0.7289;0.7287;0.7291000000000001;0.7293000000000001;0.7292000000000001;0.7288;0.7285;0.7297;0.7299;0.7299
 Angola;pall;0.8159000000000001;0.8103;0.7994;0.7826000000000001;0.775;0.7692;0.7644000000000001;0.759;0.7549;0.7583000000000001;0.7623000000000001;0.7662;0.7699;0.775;0.7804;0.7938000000000001;0.8064;0.8112;0.8156;0.8156;0.8155;0.8156;0.8156;0.8156
 Anguilla;pall;0.7842;0.7828;0.7806000000000001;0.7796000000000001;0.7787000000000001;0.7778;0.777;0.7761;0.7755000000000001;0.7749;0.7739;0.7709;0.7683;0.7667;0.7645000000000001;0.762;0.7598;0.7577;0.7561;0.7536;0.7514000000000001;0.7514000000000001;0.7513000000000001;0.7513000000000001
 Antigua and Barbuda;pall;0.7842;0.7827000000000001;0.7807000000000001;0.7797000000000001;0.7786000000000001;0.7779;0.7769;0.7761;0.7755000000000001;0.7749;0.7738;0.7709;0.7684000000000001;0.7667;0.7645000000000001;0.7621;0.7598;0.7577;0.7561;0.7537;0.7511;0.7511;0.7514000000000001;0.7512000000000001
 Argentina;pall;0.7557;0.7626000000000001;0.767;0.7522000000000001;0.7457;0.7416;0.7397;0.7435;0.7437;0.7379;0.74;0.7376;0.7344;0.7353000000000001;0.7354;0.7385;0.743;0.7386;0.7394000000000001;0.7448;0.7445;0.7397;0.739;0.739
 Armenia;pall;0.7384000000000001;0.737;0.7382000000000001;0.7376;0.7428;0.7413000000000001;0.7327;0.7336;0.732;0.7311000000000001;0.7342000000000001;0.7323000000000001;0.7326;0.7329;0.7343000000000001;0.7353000000000001;0.7348;0.7392000000000001;0.7394000000000001;0.7346;0.7346;0.7346;0.7346;0.7398
 Aruba;pall;0.7842;0.7828;0.7806000000000001;0.7796000000000001;0.7787000000000001;0.7779;0.7769;0.7761;0.7755000000000001;0.7748;0.7739;0.771;0.7684000000000001;0.7667;0.7646000000000001;0.7619;0.7598;0.7577;0.7562;0.7536;0.7516;0.7512000000000001;0.7513000000000001;0.7514000000000001
